text,label
"Dear user, your email storage is almost full. Click below to upgrade your account for free: http://0m0f2f64kp.ml/verify?id=4kil8s1y8yb5",1
SECURITY NOTICE: Your password will expire in 24 hours. Click here to update your password now: http://88eij1cb5b.xyz/verify?id=yxr37h8mn9q7,1
"Dear John, you have an unclaimed tax refund of $21803. Submit your details to receive payment: http://10f6l67q22.tk/verify?id=09xykcj0q7ow",1
"Dear John, your order #905950 has been shipped and will arrive by Wednesday.
Thanks.",0
"Dear John, your order #169170 has been shipped and will arrive by Wednesday.",0
"Dear Emily, thank you for your purchase. Your invoice #302943 is attached for your records.",0
"Dear Michael, thank you for your purchase. Your invoice #844591 is attached for your records.",0
"Dear user, your email storage is almost full. Click below to upgrade your account for free: http://rz8zpqlwak.ml/verify?id=832rrs5q8g8z",1
"RE: URGENT Dear user, your email storage is almost full. Click below to upgrade your account for free: http://vyl30130b5.xyz/verify?id=1llgjeooq9d4 Time sensitive.",1
"Dear customer, we detected unauthorized access to your account. Confirm your identity within 24 hours or your account will be permanently locked: http://rb16n8x2j2.ml/verify?id=q3ot0ypn2ile",1
Your Netflix subscription payment failed. Update your billing information to avoid service interruption: http://8ys58mqcsv.ml/verify?id=822eavz5itnk,1
URGENT: Unusual login activity detected on your account. Secure your account immediately: http://dk4oqhlny6.ml/verify?id=t1049y9y2mj8,1
"Dear customer, your refund of $336 has been processed. It will appear in your account within 5 business days.",0
"Dear Emma, your account has been flagged for review. Provide your login credentials to continue: http://e7y68u70h7.ml/verify?id=sv4256mm9zoy",1
"Hi Sarah, your monthly cloud usage report is ready. Total spend: $206.",0
Your package could not be delivered due to an incorrect address. Update your shipping info: http://pxph8uycg8.ml/verify?id=ndltlbff69nt,1
"Dear Emily, you have an unclaimed tax refund of $5080. Submit your details to receive payment: http://ai4fbixyce.xyz/verify?id=bey9tcihwmwy",1
"Hi David, your monthly cloud usage report is ready. Total spend: $488.",0
Apple ID Alert: Someone tried to sign in to your account from a new device. Verify your identity: http://q56hckkv6v.xyz/verify?id=b98jjjiw572x,1
"Dear Sarah, thank you for your purchase. Your invoice #662138 is attached for your records.",0
"Dear Emma, your order #723133 has been shipped and will arrive by Thursday. — Thanks.",0
"Dear James, your order #316789 has been shipped and will arrive by Friday. — Thanks.",0
"Hi Sarah, just a quick reminder about the project deadline this Monday. Please submit your work on time.
Thanks.",0
You have received a secure document from David. Click here to view: http://alqg070l0d.xyz/verify?id=hx6v7dzx8oor,1
"Dear Michael, your order #400560 has been shipped and will arrive by Tuesday.",0
"Dear customer, your refund of $251 has been processed. It will appear in your account within 5 business days.  Thanks.",0
Your Netflix subscription payment failed. Update your billing information to avoid service interruption: http://2mkd9oagl1.ml/verify?id=l6wtfj29oti4,1
"Dear Alice, your order #745360 has been shipped and will arrive by Monday. (see attached) Thanks.",0
"Dear James, thank you for your purchase. Your invoice #270891 is attached for your records.",0
You have been chosen to receive a free iPhone 15. Claim your gift before it expires: http://f9jtpnnlah.tk/verify?id=gnmq9lhvk3xo,1
URGENT: Unusual login activity detected on your account. Secure your account immediately: http://hf9cwfn2bn.tk/verify?id=7z1vi8htbzim,1
"Dear Sarah, your order #747751 has been shipped and will arrive by Wednesday.",0
"Dear Lisa, your account has been flagged for review. Provide your login credentials to continue: http://7cppmmxw15.tk/verify?id=ueqrhk7qa3pv",1
"Dear Bob, your order #261380 has been shipped and will arrive by Wednesday.",0
"Hi Emma, your monthly cloud usage report is ready. Total spend: $264.",0
"Dear customer, as part of our security upgrade, please re-enter your social security number: http://1fdl35odfg.xyz/verify?id=jfcfiw15xub9",1
Congratulations! You have been selected as the winner of our $43318 lottery. Claim your prize now: http://kuk94s31z7.ml/verify?id=6xhjhnsi2scq,1
You have received a secure document from Lisa. Click here to view: http://ux5kwycnsr.tk/verify?id=6on8q738ftk5,1
RE: URGENT Your Netflix subscription payment failed. Update your billing information to avoid service interruption: http://xk2gtwkxof.ml/verify?id=9rg0bz3rul04,1
Act now! Limited time offer - get a free $26598 gift card. Click to claim: http://hri1n7xkyo.xyz/verify?id=2niqclwzxfb6,1
"Dear David, your order #359392 has been shipped and will arrive by Monday.",0
"Hi Emily, just a quick reminder about the project deadline this Thursday. Please submit your work on time. (see attached) Thanks.",0
"Dear David, thank you for your purchase. Your invoice #219696 is attached for your records.",0
"Dear user, your email storage is almost full. Click below to upgrade your account for free: http://4aqfk7qiox.ml/verify?id=ohv4irsvk5im",1
URGENT: Unusual login activity detected on your account. Secure your account immediately: http://j80di26go1.xyz/verify?id=riudsayfu3j0,1
"Hi Lisa, your monthly cloud usage report is ready. Total spend: $293. — Thanks.",0
"Dear customer, your refund of $485 has been processed. It will appear in your account within 5 business days.",0
"Hi James, your monthly cloud usage report is ready. Total spend: $415.",0
"Hello James, welcome to our platform! Here are some resources to help you get started. (see attached) Thanks.",0
You have received a secure document from John. Click here to view: http://j1j9wgjdtc.ml/verify?id=4njkxjp9ygst,1
"Dear David, thank you for your purchase. Your invoice #882533 is attached for your records.",0
"Hi David, your monthly cloud usage report is ready. Total spend: $465.",0
"Dear customer, we detected unauthorized access to your account. Confirm your identity within 24 hours or your account will be permanently locked: http://a7mluhkknr.ml/verify?id=8827dkzgt57l",1
URGENT: Your account has been suspended due to suspicious activity. Click here to verify your identity immediately: http://fybduw5xy8.xyz/verify?id=haqmi0dhlbi9,1
"Hi David, your monthly cloud usage report is ready. Total spend: $241.",0
"Hi, the quarterly business review presentation is scheduled for Tuesday. Please prepare your slides.  Thanks.",0
"Dear Bob, your order #396645 has been shipped and will arrive by Wednesday.",0
"Dear Sarah, your order #862077 has been shipped and will arrive by Monday.",0
"Dear customer, as part of our security upgrade, please re-enter your social security number: http://8inafhmro0.ml/verify?id=narsnoyrfpm1",1
Congratulations! You have been selected as the winner of our $31684 lottery. Claim your prize now: http://m6by8eruxl.tk/verify?id=eu83rnrrk43a,1
"Hi John, just a quick reminder about the project deadline this Friday. Please submit your work on time. (see attached) Thanks.",0
"Dear James, thank you for your purchase. Your invoice #952531 is attached for your records. (see attached) Thanks.",0
"Dear Lisa, your order #883858 has been shipped and will arrive by Monday.",0
"Dear James, your order #958180 has been shipped and will arrive by Thursday. (see attached) Thanks.",0
Your Zoom account requires immediate verification. Click below to confirm your identity: http://an9qr0chb4.ml/verify?id=qid7fsgk0qzh,1
"Hi David, your monthly cloud usage report is ready. Total spend: $323.",0
"Hello team, we are migrating to a new project management tool next Wednesday. Training session details to follow.
Thanks.",0
URGENT: Your account has been suspended due to suspicious activity. Click here to verify your identity immediately: http://lo61rjksgw.xyz/verify?id=a02p626et5ch,1
"Dear customer, your refund of $279 has been processed. It will appear in your account within 5 business days.",0
"Dear Sarah, thank you for your purchase. Your invoice #232348 is attached for your records.",0
RE: URGENT Your PayPal account has been limited. Please update your information to restore access: http://at2ngjn28g.tk/verify?id=9tdj5aa8s3do,1
"Dear Emma, thank you for your purchase. Your invoice #172428 is attached for your records.",0
You have received a secure document from David. Click here to view: http://2hpp7fbvuf.tk/verify?id=mnx9p5h050ju,1
Wire transfer of $39897 is pending your approval. Review and authorize the transaction: http://z6ilr2fard.tk/verify?id=lby3cucqr5rf,1
Apple ID Alert: Someone tried to sign in to your account from a new device. Verify your identity: http://8ja6b40qm5.xyz/verify?id=i3o7xf7qsgor,1
"Dear Michael, thank you for your purchase. Your invoice #898770 is attached for your records.  Thanks.",0
"Dear customer, we detected unauthorized access to your account. Confirm your identity within 24 hours or your account will be permanently locked: http://vm9x806jow.tk/verify?id=lc50qupiefcd",1
"ALERT: Your credit card ending in 6084 has been charged $25293. If this was not you, click here: http://y7sdhyfm00.ml/verify?id=lyhd8ngq5pfy",1
"Dear Lisa, your account has been flagged for review. Provide your login credentials to continue: http://o4stm0ajq0.xyz/verify?id=tqlmtkp9nk1t",1
"Hi Emily, your monthly cloud usage report is ready. Total spend: $51.",0
Act now! Limited time offer - get a free $45391 gift card. Click to claim: http://wt9m1h4hvd.tk/verify?id=zrofj0q07fbt,1
"Dear David, your order #787952 has been shipped and will arrive by Tuesday.",0
"Hi Alice, thanks for reaching out. We received your support ticket and will respond within 24 hours.
Thanks.",0
"Dear Emily, your order #206605 has been shipped and will arrive by Tuesday.",0
URGENT: Your account has been suspended due to suspicious activity. Click here to verify your identity immediately: http://lkxkvk8xij.xyz/verify?id=cfxmmgtxcmqj,1
"Dear customer, we detected unauthorized access to your account. Confirm your identity within 24 hours or your account will be permanently locked: http://2lb7ayal2x.tk/verify?id=sa2gihq6kokb Do not ignore this message.",1
"ALERT: Your credit card ending in 1703 has been charged $6062. If this was not you, click here: http://2ugex1sklj.xyz/verify?id=hysyu2n6p4rt",1
Act now! Limited time offer - get a free $39141 gift card. Click to claim: http://ee5vawrcrj.ml/verify?id=zvzzu64m016c,1
"Dear customer, your refund of $154 has been processed. It will appear in your account within 5 business days.",0
"Dear customer, your refund of $271 has been processed. It will appear in your account within 5 business days.",0
"ALERT: Your credit card ending in 9024 has been charged $15878. If this was not you, click here: http://o3aawfydn9.ml/verify?id=x8ofl1m5or0c",1
"Hi Emma, your monthly cloud usage report is ready. Total spend: $99.",0
"Hi Bob, your monthly cloud usage report is ready. Total spend: $423.",0
"Dear Sarah, your order #683996 has been shipped and will arrive by Wednesday.",0
URGENT: Your account has been suspended due to suspicious activity. Click here to verify your identity immediately: http://7ufyovc1p2.ml/verify?id=sxs7y1qfz5yy,1
URGENT: Your account has been suspended due to suspicious activity. Click here to verify your identity immediately: http://pe7f8p14tc.xyz/verify?id=l4b2glnyyac0,1
"Hello team, we are migrating to a new project management tool next Thursday. Training session details to follow.  Thanks.",0
"Dear Bob, thank you for your purchase. Your invoice #389732 is attached for your records. (see attached) Thanks.",0
"Dear Michael, your order #945274 has been shipped and will arrive by Tuesday.",0
"Dear user, your email storage is almost full. Click below to upgrade your account for free: http://40852048xg.ml/verify?id=w02auc8i4ujd",1
Act now! Limited time offer - get a free $29400 gift card. Click to claim: http://89e9wof2yz.xyz/verify?id=ugdcl7qavwax,1
"FW: Dear Lisa, your account has been flagged for review. Provide your login credentials to continue: http://4yxmezphjm.xyz/verify?id=8iimrtd760on",1
"Dear John, your order #720276 has been shipped and will arrive by Thursday.",0
"Hi James, your monthly cloud usage report is ready. Total spend: $73.",0
"Dear David, your order #532071 has been shipped and will arrive by Monday.",0
"Dear customer, as part of our security upgrade, please re-enter your social security number: http://5nxghssilw.xyz/verify?id=nqh0dfrge4ko",1
"Dear John, your account has been flagged for review. Provide your login credentials to continue: http://hipyer9y80.ml/verify?id=98j0994bbwfr",1
"Dear customer, as part of our security upgrade, please re-enter your social security number: http://hyf50xhyrm.xyz/verify?id=cbazoavagaod",1
"Dear Lisa, thank you for your purchase. Your invoice #826225 is attached for your records.",0
"Dear Emily, thank you for your purchase. Your invoice #796668 is attached for your records.",0
"Hi David, just a quick reminder about the project deadline this Friday. Please submit your work on time. (see attached) Thanks.",0
"Dear James, thank you for your purchase. Your invoice #694654 is attached for your records.",0
"Dear Michael, your order #982368 has been shipped and will arrive by Monday.",0
"Dear Emily, you have an unclaimed tax refund of $46594. Submit your details to receive payment: http://yevhl0x4e5.xyz/verify?id=55xzvru99szc",1
"Dear David, thank you for your purchase. Your invoice #718931 is attached for your records.",0
IMPORTANT: Your bank account will be closed unless you verify your details within 48 hours. Verify now: http://x2aymib3vc.ml/verify?id=g5mfttiqmxvk,1
"Dear customer, your refund of $133 has been processed. It will appear in your account within 5 business days.",0
You have received a secure document from Michael. Click here to view: http://ltiqs9qtg3.tk/verify?id=xa7xxx8t69da,1
"ALERT: Your credit card ending in 2075 has been charged $14368. If this was not you, click here: http://wdudvvuzeu.xyz/verify?id=c1jdwg766lp1",1
"Hi Bob, just a quick reminder about the project deadline this Friday. Please submit your work on time. (see attached) Thanks.",0
Your Zoom account requires immediate verification. Click below to confirm your identity: http://2xuondlwyv.ml/verify?id=yr9n52xsc9oq,1
"Dear customer, your refund of $357 has been processed. It will appear in your account within 5 business days.",0
"Hi Lisa, your monthly cloud usage report is ready. Total spend: $420.",0
"Dear Bob, your account has been flagged for review. Provide your login credentials to continue: http://4fvwhqj893.tk/verify?id=vbhr9su21gsg",1
"Dear Bob, thank you for your purchase. Your invoice #664556 is attached for your records. — Thanks.",0
"Dear Bob, your order #406179 has been shipped and will arrive by Monday.",0
"Dear John, your account has been flagged for review. Provide your login credentials to continue: http://dy8iryj5ug.ml/verify?id=vf5ryo5nhft3",1
FW: You have been chosen to receive a free iPhone 15. Claim your gift before it expires: http://eysgeljxxl.tk/verify?id=n3zmlke4scay,1
"Dear Emma, thank you for your purchase. Your invoice #421337 is attached for your records.",0
"Dear Michael, your account has been flagged for review. Provide your login credentials to continue: http://1id9q3iz9m.ml/verify?id=uvh385eqy424",1
"Dear Lisa, thank you for your purchase. Your invoice #279707 is attached for your records.",0
Act now! Limited time offer - get a free $16071 gift card. Click to claim: http://pq1h2ixfx6.ml/verify?id=yibffoduqifz,1
"Dear David, your order #297598 has been shipped and will arrive by Thursday.",0
"Dear Bob, your order #419767 has been shipped and will arrive by Thursday.",0
"Dear Emily, thank you for your purchase. Your invoice #117567 is attached for your records.",0
SECURITY NOTICE: Your password will expire in 24 hours. Click here to update your password now: http://751glcvhlp.xyz/verify?id=55k7zbyvxfww,1
Your Zoom account requires immediate verification. Click below to confirm your identity: http://simnaodyjn.xyz/verify?id=5fxmsuq9hvdr,1
RE: URGENT Apple ID Alert: Someone tried to sign in to your account from a new device. Verify your identity: http://9t19smly6c.ml/verify?id=ggpy8pelwddx Time sensitive.,1
"Hello, we wanted to let you know that your subscription will renew on Wednesday. No action needed. — Thanks.",0
You have received a secure document from Lisa. Click here to view: http://fop74rmkbr.tk/verify?id=pk4onupa4x3l,1
Your Netflix subscription payment failed. Update your billing information to avoid service interruption: http://73ld9e9ug8.tk/verify?id=6c4vm3uaum94,1
"Hi James, your monthly cloud usage report is ready. Total spend: $256.",0
Act now! Limited time offer - get a free $32119 gift card. Click to claim: http://wlg4ghrnec.xyz/verify?id=jzxtmbv88h4l,1
"Dear Michael, thank you for your purchase. Your invoice #744375 is attached for your records.",0
Your PayPal account has been limited. Please update your information to restore access: http://u1oibf6skc.ml/verify?id=eofqf98c8ymh,1
Your Zoom account requires immediate verification. Click below to confirm your identity: http://040zc18bvv.tk/verify?id=a5qhyxzo8uot,1
"Hi Bob, your monthly cloud usage report is ready. Total spend: $468.",0
"Hi Emma, your monthly cloud usage report is ready. Total spend: $323. — Thanks.",0
RE: URGENT Wire transfer of $32561 is pending your approval. Review and authorize the transaction: http://qefxncaa71.tk/verify?id=edvrka7tcrcq,1
"Dear customer, we detected unauthorized access to your account. Confirm your identity within 24 hours or your account will be permanently locked: http://zi11wzv7l5.ml/verify?id=t2m4g1ejcg2p",1
"Hello James, welcome to our platform! Here are some resources to help you get started.",0
"Dear customer, your refund of $241 has been processed. It will appear in your account within 5 business days.",0
"Dear James, your order #663197 has been shipped and will arrive by Thursday. — Thanks.",0
"Dear customer, your refund of $187 has been processed. It will appear in your account within 5 business days. (see attached) Thanks.",0
Your package could not be delivered due to an incorrect address. Update your shipping info: http://7iomscqx70.ml/verify?id=d8mxbz3ooepm,1
IMPORTANT: Your bank account will be closed unless you verify your details within 48 hours. Verify now: http://qhu9y82yi7.ml/verify?id=5ikhsxl7p0w6,1
Your PayPal account has been limited. Please update your information to restore access: http://hjeyn53v0j.ml/verify?id=6qsxpdk02upc,1
"Hi John, your monthly cloud usage report is ready. Total spend: $490.",0
URGENT: Unusual login activity detected on your account. Secure your account immediately: http://6mcqvem457.xyz/verify?id=bqrm0akkiias,1
FW: URGENT: Your account has been suspended due to suspicious activity. Click here to verify your identity immediately: http://1hchocqhb7.tk/verify?id=dxqgcyhu0dhg,1
"Dear user, your email storage is almost full. Click below to upgrade your account for free: http://aud03fnhow.tk/verify?id=rsatdly1v8q7",1
URGENT: Unusual login activity detected on your account. Secure your account immediately: http://tkokyushal.xyz/verify?id=0yx915qw9rw7,1
"Dear Sarah, thank you for your purchase. Your invoice #563175 is attached for your records.",0
"Dear Emma, you have an unclaimed tax refund of $27733. Submit your details to receive payment: http://vfwv7t0w1t.tk/verify?id=zdg46yilknjp",1
"Dear Michael, thank you for your purchase. Your invoice #577805 is attached for your records.",0
URGENT: Your account has been suspended due to suspicious activity. Click here to verify your identity immediately: http://ynvi29l028.xyz/verify?id=otyhgazhq4r7,1
"Dear customer, your refund of $376 has been processed. It will appear in your account within 5 business days.",0
"ALERT: Your credit card ending in 8276 has been charged $49275. If this was not you, click here: http://tuku26fkfa.ml/verify?id=xsxw3izvsesr",1
"Dear Alice, your order #828725 has been shipped and will arrive by Monday.",0
You have been chosen to receive a free iPhone 15. Claim your gift before it expires: http://z1la7r6o50.xyz/verify?id=fh6656fr1vrn,1
"Dear Lisa, your order #919827 has been shipped and will arrive by Thursday.  Thanks.",0
"Dear Emily, thank you for your purchase. Your invoice #938142 is attached for your records.",0
Your package could not be delivered due to an incorrect address. Update your shipping info: http://5xirx6s0o9.ml/verify?id=xjbt6dttbb3g,1
"Hi John, thanks for reaching out. We received your support ticket and will respond within 24 hours.",0
"Dear Bob, thank you for your purchase. Your invoice #980013 is attached for your records.",0
"Dear Lisa, your order #498466 has been shipped and will arrive by Wednesday.",0
"Dear customer, your refund of $224 has been processed. It will appear in your account within 5 business days.
Thanks.",0
"Dear Alice, your order #164781 has been shipped and will arrive by Monday.",0
SECURITY NOTICE: Your password will expire in 24 hours. Click here to update your password now: http://tt31n0uihy.xyz/verify?id=8ceug0kshpeq,1
Your Zoom account requires immediate verification. Click below to confirm your identity: http://s5t2gg0k8q.ml/verify?id=fnwl1mh9vqox,1
"Dear Emma, your account has been flagged for review. Provide your login credentials to continue: http://86iw0dcyz4.tk/verify?id=m6qflg8elxce",1
Reminder: Our weekly standup meeting is scheduled for Tuesday at 10 AM. Please join on time. (see attached) Thanks.,0
Act now! Limited time offer - get a free $41235 gift card. Click to claim: http://8wpcuvg8hj.tk/verify?id=m8zz5vuibaqr,1
RE: URGENT Your Netflix subscription payment failed. Update your billing information to avoid service interruption: http://r7hqahrofk.xyz/verify?id=7xpl3w1ynakq,1
IMPORTANT: Your bank account will be closed unless you verify your details within 48 hours. Verify now: http://61skrrlk7o.tk/verify?id=9w36dp25on3l,1
"Dear James, thank you for your purchase. Your invoice #921825 is attached for your records.",0
"Hi Emma, just a quick reminder about the project deadline this Monday. Please submit your work on time.",0
"Dear customer, we detected unauthorized access to your account. Confirm your identity within 24 hours or your account will be permanently locked: http://hfrdfertkg.xyz/verify?id=7bq49d5u7uhz",1
"Hi Lisa, your monthly cloud usage report is ready. Total spend: $467.",0
"Hi Lisa, just a quick reminder about the project deadline this Friday. Please submit your work on time.  Thanks.",0
"Dear John, your order #159116 has been shipped and will arrive by Friday.  Thanks.",0
Your Zoom account requires immediate verification. Click below to confirm your identity: http://wtcukr1zh2.xyz/verify?id=1nkgph9oigo3,1
FW: Congratulations! You have been selected as the winner of our $28669 lottery. Claim your prize now: http://q9bs75jtji.ml/verify?id=rlmriy79l22x Do not ignore this message.,1
"Dear customer, your refund of $405 has been processed. It will appear in your account within 5 business days.",0
"Dear customer, we detected unauthorized access to your account. Confirm your identity within 24 hours or your account will be permanently locked: http://bzb0wj5lo1.ml/verify?id=oh92ynk3zczw Do not ignore this message.",1
"Hi Sarah, your monthly cloud usage report is ready. Total spend: $275.",0
"Dear customer, we detected unauthorized access to your account. Confirm your identity within 24 hours or your account will be permanently locked: http://kvi63ehx06.tk/verify?id=k0mvmhmfts6f",1
"Hi David, your monthly cloud usage report is ready. Total spend: $218.",0
FW: Act now! Limited time offer - get a free $39075 gift card. Click to claim: http://p0ddpdbxkt.tk/verify?id=pd2umzguxd68 Time sensitive.,1
"Hello, your flight booking confirmation for Tuesday is attached. Have a great trip! — Thanks.",0
Your Netflix subscription payment failed. Update your billing information to avoid service interruption: http://a79bdb1a9v.ml/verify?id=xhhyzh1pyzdg,1
"Hi Emma, your monthly cloud usage report is ready. Total spend: $282.",0
"Dear customer, as part of our security upgrade, please re-enter your social security number: http://dd0hwwdtil.tk/verify?id=nr36vxyod2e4",1
Your PayPal account has been limited. Please update your information to restore access: http://n6n2gw8lxp.ml/verify?id=5ej1hu230hz1,1
"Dear Emily, you have an unclaimed tax refund of $16364. Submit your details to receive payment: http://xho79w9g1a.tk/verify?id=eol1orlopdm8",1
"Dear John, your account has been flagged for review. Provide your login credentials to continue: http://28x2xgpkb9.ml/verify?id=97h1kzoub1rt Do not ignore this message.",1
Your Netflix subscription payment failed. Update your billing information to avoid service interruption: http://fod3eghnr8.ml/verify?id=rfow7v8db5pj,1
"Dear customer, your refund of $109 has been processed. It will appear in your account within 5 business days. — Thanks.",0
Your PayPal account has been limited. Please update your information to restore access: http://tho3jw6pha.xyz/verify?id=ahz48aymm8h0,1
Act now! Limited time offer - get a free $39164 gift card. Click to claim: http://sj2froxrr7.tk/verify?id=jwxiena2f2s9,1
URGENT: Unusual login activity detected on your account. Secure your account immediately: http://dhek8o2gyn.xyz/verify?id=gq6adacs7r77,1
"Dear customer, your refund of $86 has been processed. It will appear in your account within 5 business days.",0
You have received a secure document from Emma. Click here to view: http://wgojgwa71d.xyz/verify?id=tzm7wc878f2c,1
You have received a secure document from Sarah. Click here to view: http://4gece9cdmm.xyz/verify?id=c43582hl6psg,1
Your PayPal account has been limited. Please update your information to restore access: http://vyi5zji0n1.ml/verify?id=ydkjsftk437m,1
Apple ID Alert: Someone tried to sign in to your account from a new device. Verify your identity: http://gclfd1354c.xyz/verify?id=1hcm6eqhm7z2,1
"Dear customer, we detected unauthorized access to your account. Confirm your identity within 24 hours or your account will be permanently locked: http://ninyqu5uy2.ml/verify?id=bqj2qrpu7n3g",1
SECURITY NOTICE: Your password will expire in 24 hours. Click here to update your password now: http://p1560p7xme.tk/verify?id=hz7hos2oy76m,1
URGENT: Unusual login activity detected on your account. Secure your account immediately: http://f8iiwigd0q.ml/verify?id=qhcm0c83s4ef,1
You have been chosen to receive a free iPhone 15. Claim your gift before it expires: http://px58oqjhkg.ml/verify?id=4slqr1iy053r,1
Apple ID Alert: Someone tried to sign in to your account from a new device. Verify your identity: http://wtm2wugk9c.ml/verify?id=vlz40isb03f3,1
"Dear customer, your refund of $92 has been processed. It will appear in your account within 5 business days.",0
"Dear customer, as part of our security upgrade, please re-enter your social security number: http://rkcmjgxvnm.xyz/verify?id=k6dryz64k007",1
"Dear customer, your refund of $242 has been processed. It will appear in your account within 5 business days.",0
"Hi Michael, your monthly cloud usage report is ready. Total spend: $274. (see attached) Thanks.",0
"Dear customer, your refund of $353 has been processed. It will appear in your account within 5 business days.",0
URGENT: Your account has been suspended due to suspicious activity. Click here to verify your identity immediately: http://yep6hmwt90.xyz/verify?id=57c1qqiabyen,1
"Dear Sarah, your account has been flagged for review. Provide your login credentials to continue: http://ewkbk9bpvh.ml/verify?id=fd3s38uqghm3",1
Congratulations! You have been selected as the winner of our $23685 lottery. Claim your prize now: http://8i7sc7pm2d.tk/verify?id=lpz5446bu79e,1
URGENT: Unusual login activity detected on your account. Secure your account immediately: http://6p1qzxv7n1.tk/verify?id=jh3gmzefzqxw,1
"Dear student, your assignment for Data Structures has been graded. You can view your score on the portal. — Thanks.",0
"ALERT: Your credit card ending in 2347 has been charged $24542. If this was not you, click here: http://x51859mkmd.xyz/verify?id=12aoxgalwdw3",1
SECURITY NOTICE: Your password will expire in 24 hours. Click here to update your password now: http://w5j8xxpbxs.xyz/verify?id=wv45hwdhgejq,1
"Dear John, your order #222461 has been shipped and will arrive by Tuesday.",0
"Hi Bob, your monthly cloud usage report is ready. Total spend: $406.",0
"Hi David, your monthly cloud usage report is ready. Total spend: $225.",0
SECURITY NOTICE: Your password will expire in 24 hours. Click here to update your password now: http://je3oimbz3r.xyz/verify?id=zid9q63qewwr,1
"Dear James, thank you for your purchase. Your invoice #701195 is attached for your records.",0
"Dear customer, your refund of $407 has been processed. It will appear in your account within 5 business days.",0
"Dear Sarah, your order #115857 has been shipped and will arrive by Monday. (see attached) Thanks.",0
Wire transfer of $1989 is pending your approval. Review and authorize the transaction: http://mlqph5rxzt.xyz/verify?id=ybg8jgrxootl Do not ignore this message.,1
"Dear applicant, we are pleased to inform you that your application for the Cybersecurity program has been received. (see attached) Thanks.",0
SECURITY NOTICE: Your password will expire in 24 hours. Click here to update your password now: http://wz16gd1t4b.xyz/verify?id=lke1s8uwzv6b,1
"Dear Sarah, your order #266031 has been shipped and will arrive by Thursday.",0
You have been chosen to receive a free iPhone 15. Claim your gift before it expires: http://iw7f8y9an1.ml/verify?id=62b4i0ihf55z,1
"Dear Alice, thank you for your purchase. Your invoice #992533 is attached for your records.",0
"Team, please complete the employee satisfaction survey by end of this week. Your feedback matters. — Thanks.",0
You have been chosen to receive a free iPhone 15. Claim your gift before it expires: http://20c3u4jo4g.tk/verify?id=g0drw1lws9ny,1
